Unique Well ID,Operator Name,First 12 mo CUM GAS  Mcf,First 12 mo CUM CND/OIL  Bbl,First 12 mo CUM BOE  Bbl,First 12 mo CALENDAR DAILY AVG GAS  Mcf,First 12 mo CALENDAR DAILY AVG BOE  Bbl,Total Measured Depth (m) WCFD,First 12 mo CUM HRS  hrs,Completion Year WCFD,Completed Length (m) WCFD,Avg Frac Spacing (m/s),Stages Actual WCFD,Technology Group WCFD,Avg Proppant Placed WCFD (t/m),Total Proppant Placed WCFD (t),Frac Fluid WCFD,Avg Fluid Pumped WCFD (m3/s)
100/09-02-078-18W6/00,MURPHY OIL COMPANY LTD.,941168,0,156861,2572,429,4070,7658,2011,1133,94,12,Ball and Seat ,0.50,612,SW,64.4
102/13-05-080-17W6/00,OVINTIV CANADA ULC,2276673,44739,424184,6238,1162,4085,7661,2018,1575,99,16,Plug and Perf,3.00,4718,SW,980.0
100/16-02-079-18W6/00,TOURMALINE OIL CORP.,2055924,47,342701,5633,939,3650,7661,2014,1054,41,26,Ball and Seat ,1.50,1554,SW,328.0
100/05-04-080-17W6/00,OVINTIV CANADA ULC,1283335,33892,247781,3516,679,4190,7661,2018,1578,93,17,Plug and Perf,1.40,2185,SW,647.1
102/12-02-077-17W6/00,TOURMALINE OIL CORP.,1173248,0,195541,3214,536,4587,7661,2017,1459,52,28,Ball and Seat ,1.00,1505,SW,308.4
100/13-11-081-18W6/00,OVINTIV CANADA ULC,2110217,77753,429456,5781,1177,4890,7663,2016,2419,78,31,Plug and Perf,1.80,4248,SW,736.8
102/12-28-077-14W6/00,OVINTIV CANADA ULC,885010,27905,175407,2425,481,5254,7663,2017,2850,71,40,Plug and Perf,1.40,4061,SW,710.5
103/13-11-081-18W6/00,OVINTIV CANADA ULC,1786216,58050,355752,4894,975,5139,7666,2016,2495,81,31,Plug and Perf,1.70,4311,SW,641.7
100/13-17-080-17W6/00,OVINTIV CANADA ULC,1054499,28711,204461,2889,560,4110,7666,2018,1672,93,18,Plug and Perf,1.70,2914,SW,571.3
100/12-33-080-17W6/02,OVINTIV CANADA ULC,744500,148519,272602,2040,747,5224,7668,2017,2557,102,25,Plug and Perf,1.70,4368,SW,1148.7
102/01-15-082-20W6/00,CREW ENERGY INC.,700318,62,116781,1919,320,4119,7668,2016,2138,67,32,Ball and Seat ,1.00,2028,SW,514.3
100/02-35-077-15W6/00,OVINTIV CANADA ULC,3245273,63245,604124,8891,1655,5890,7670,2017,3363,66,51,Plug and Perf,1.40,4755,SW,550.8
102/12-26-080-16W6/00,TOURMALINE OIL CORP.,589331,17,98239,1615,269,3444,7670,2014,1077,43,25,Ball and Seat ,1.30,1350,SW,296.8
100/16-20-079-14W6/00,ARC RESOURCES LTD.,1079905,11,179995,2959,493,3658,7673,2017,1546,155,10,Plug and Perf,1.30,2075,SW,959.1
104/02-06-081-17W6/00,OVINTIV CANADA ULC,1681734,24486,304775,4608,835,4540,7675,2018,2161,98,22,Plug and Perf,0.90,1888,SW,448.2
