Unique Well ID,Region,Operator Name,First 12 mo CUM GAS  Mcf,First 12 mo CUM CND/OIL  Bbl,First 12 mo CUM BOE  Bbl,First 12 mo Monthly WTR  Bbl,First 12 mo CALENDAR DAILY AVG GAS  Mcf,First 12 mo CALENDAR DAILY AVG BOE  Bbl,Total Measured Depth (m) WCFD,First 12 mo CUM HRS  hrs,Completion Year WCFD,Completed Length (m) WCFD,Avg Frac Spacing (m/s),Stages Actual WCFD,Technology Group WCFD,Avg Proppant Placed WCFD (t/m),Total Proppant Placed WCFD (t),Frac Fluid WCFD,Avg Fluid Pumped WCFD (m3/s)
100/02-23-079-14W6/00,south_graben,ARC RESOURCES LTD.,2135305,88,355972,13857,5850,975,4909,7682,2017,2798,155,18,Plug and Perf,1.3,3658,SW,879.2
100/13-26-080-16W6/00,south_graben,TOURMALINE OIL CORP.,2134853,5310,361119,19888,5833,987,3672,3653,2012,1440,85,17,Ball and Seat/Plug and Perf,0.8,1105,SW,328.8
102/01-03-080-18W6/00,south_graben,SHELL CANADA LIMITED,2126359,8,354401,40060,5826,971,5745,7946,2018,3022,55,55,Ball and Seat/Coil Tubing,0.9,2747.5,SW,271.5
102/05-01-081-18W6/00,south_graben,OVINTIV CANADA ULC,2122983,46380,400210,226355,5816,1097,4534,7634,2018,2245,70,32,Plug and Perf,1.1,2431,SW,471.4
100/04-32-080-15W6/00,south_graben,TOURMALINE OIL CORP.,2115518,149,352735,2969,5796,966,3208,7397,2017,1035,45,23,Ball and Seat ,1.2,1264.9,SW,243.6
102/14-09-078-17W6/00,south_graben,MURPHY OIL COMPANY LTD.,2114052,0,352342,18955,5792,965,4794,7639,2014,1889,111,17,Ball and Seat ,0.9,1700,SW,606.3
100/13-11-081-18W6/00,south_graben,OVINTIV CANADA ULC,2110217,77753,429456,98775,5781,1177,4890,7663,2016,2419,78,31,Plug and Perf,1.8,4248.1,SW,736.8
100/09-26-080-16W6/00,south_graben,TOURMALINE OIL CORP.,2109981,802,352465,16291,5781,966,3781,7903,2014,1590,61,26,Ball and Seat ,0.9,1435,SW,308.9
102/01-05-080-17W6/00,south_graben,OVINTIV CANADA ULC,2109733,40131,391753,52114,5780,1073,4705,7836,2018,2210,105,21,Plug and Perf,1.4,3052,SW,765.2
102/12-13-077-14W6/00,south_graben,OVINTIV CANADA ULC,2101537,38439,388696,56480,5758,1065,4942,8119,2018,2596,96,27,Plug and Perf,1.7,4295,SW,418.8
100/04-28-077-14W6/00,south_graben,OVINTIV CANADA ULC,2100537,69311,419401,82141,5755,1149,4560,8030,2018,2194,95,23,Plug and Perf,1.7,3777,SW,418.4
102/12-33-080-17W6/00,south_graben,OVINTIV CANADA ULC,2097172,61724,411253,136358,5746,1127,4641,8040,2018,2332,90,26,Plug and Perf,2.9,6711,SW,822.9
